Parcel,Region,Best Predictor,Best Predictor Rsquare,a,abin,d,PLbin,PLwei1,PLwei2,PLwei3,PLwei4,Gwei,Gbin,Coswei,Cosbin,SIbin,SIwei1,SIwei2,SIwei3,SIwei4,PTbin,PTwei1,PTwei2,PTwei3,PTwei4,MIwei,MIbin,Navnumhops,NavplMS,mfptwei,mfptbin,FGbin1,FGbin2,FGbin3,FGbin4,FGwei1,FGwei2,FGwei3,FGwei4
L_TP1_A,Temporal Pole,d,0.25644262696310177,0.0795620907188035,0.017670538514288896,0.25644262696310177,0.017670538514288896,0.0009083289192679969,0.006742354854955207,6.043545933313445e-05,0.0001606078167837367,0.11804308453815743,0.0,0.07854319564444742,0.0002292769446156368,0.02500683408300749,0.012115668760556284,0.01140837340403728,0.0005636664412179714,6.301038090193174e-07,0.01170603219745042,0.00997896035773682,0.006516159176825168,0.014767276226607085,0.007972344997790582,0.2459379217587401,0.0009501614509849897,0.01577331148892181,0.24455723055890288,0.15351388488664816,0.04600236262168076,0.00964780643770403,3.559217164953527e-06,0.016456381251107183,0.026661759776620345,0.07056930585964702,0.036591357599892585,3.68491757699435e-05,0.05023210374728509
L_TP1_B,Temporal Pole,d,0.28918578433074316,0.02767358406261799,0.01659148309533738,0.28918578433074316,0.01659148309533738,0.0005305456892678971,0.019104492293178375,0.0,0.0001146836447628578,0.05614575847739047,0.0,0.0956384762964391,0.002549660531355288,0.02355600110050657,0.012802596817880712,0.056414374332694944,0.001997953708805321,0.0013183024482860469,0.028136081209092136,0.022246847148515773,0.016737627738031103,0.0010100184695152872,0.01812570449844376,0.2784394214225482,0.005082507499228774,0.01575883703159372,0.2721241833784836,0.11838885332042702,0.05407045645998822,0.009166242291677843,7.764367250363979e-06,0.013173502118382816,0.02046378589048528,0.023729105863689308,0.010416431810830776,0.001758417109066118,0.08931222961710049
L_TP1_C,Temporal Pole,d,0.10287109329267198,0.0004057924960921601,0.002590300314235543,0.10287109329267198,0.0025903003142355428,0.0012022300902149114,0.0036510521996627483,0.0034105576254506043,0.002922477028990167,0.0032986127249528476,0.0,0.04196540163064639,0.00129376923383323,0.002216752082714236,0.0002115675785529419,0.08089292225473332,0.0004259873362221793,0.00205515244144852,0.00029728851030123973,0.009782370231662101,0.008531648486897537,0.009203570848026666,0.015388715619042863,0.1024332289516039,0.0013564930494244047,0.0025903003142355428,0.09752750484468163,0.008821808395653729,7.10635978741243e-05,0.004122936745864934,0.006766026839136566,0.007378068432255035,0.007245126105343223,0.0012187833511952486,0.001050600716006167,0.0008925343188782532,0.03859032884779806
L_TP1_D,Temporal Pole,MIwei,0.10203293041679888,0.007391332106763247,0.005263470812645358,0.07261054602085872,0.005263470812645358,0.003681181106075774,4.364321733241422e-05,6.909562350501371e-05,6.761198253386267e-05,0.01113825871825491,0.0,0.030435455739295045,0.008582150017782647,0.0040724567935763465,0.000755911044959757,0.05026459722075167,0.010424429496051602,0.009800758963875259,0.007334253984992365,0.014190551829279169,0.007533240666876393,0.001026963975345701,0.021912276747327753,0.10203293041679888,0.008599697968233223,0.005263470812645358,0.07167249570882384,0.012378554709974775,0.00025036472425906113,0.008255138829535128,0.0120275306703443,0.011702528973153561,0.011175580817340776,0.006241284286884626,0.0027736360328929986,0.0003985452649550762,0.02492326191814735
L_TP1_E,Temporal Pole,MIwei,0.04024466245286518,0.020545285422245024,0.008161486060335106,0.03246259966783761,0.008161486060335106,2.313736084651487e-05,4.535305016832479e-05,0.0005183780689539805,0.00041278249487716355,0.020435593641996437,0.0,0.009748730358468013,0.006744587051427727,0.00660981347838991,0.001025091082946176,0.006843810378676486,0.005414694744986106,0.014643474511555414,0.003947238310127585,0.01496706018556567,0.01039002263937824,0.01886968610770752,0.02652176266743087,0.04024466245286518,0.007228945876993764,0.008161486060335106,0.034611160337587765,0.0035806711234849633,0.0004088309288042884,0.009945117445003813,0.010428719929668746,0.008312206583993913,0.007804090545975153,0.015025940526745678,0.005584688655225553,0.00013998163039239956,0.011296459324758127
L_TP1_F,Temporal Pole,PTwei3,0.05580618613993711,0.04317158925332641,0.004833794985660922,0.008058405213928227,0.004833794985660924,0.0019179845140641209,0.00019172529707702567,0.0007735256627066293,0.00044855021848552615,0.04551225869369899,0.0,0.02134454090150321,0.0019373746125223143,0.00353672735500053,0.008725777236308322,0.009325056496872276,0.006598264463860445,0.0034525710836556143,0.0012360796593174567,0.012212573953170198,0.015492139918892839,0.05580618613993711,0.018055524573667592,0.001215441071580284,0.002809460091044399,0.004833794985660924,0.00868173287510341,1.764788894472528e-05,7.193928894118913e-05,0.004814176228132791,0.004075118551354837,0.0035472255952532818,0.0037425070761451947,0.0415815975477474,0.031252536098522854,0.007607558445262007,0.0006692400040228385
L_TP2.1_A,Temporal Pole,d,0.2795944590359669,0.01099594802322734,0.008914799982011177,0.2795944590359669,0.008914799982011177,0.01084205661527059,0.0016478398443267493,0.0,0.0035188955794499465,0.03191700750804898,0.0,0.11020281755327048,6.919698417916509e-05,0.011753908787179477,0.008119786029076015,0.07269518934635438,0.08140609987493118,0.001287487018756677,0.001550762274923815,0.001698629751902347,0.0001424121947359463,0.009579391304781052,0.01625641222674216,0.20687135263942374,4.847279390410999e-05,0.008914799982011177,0.2661797609006489,0.06402579172701481,0.01843981923232526,0.007482262501929269,0.0023974953024632553,2.0742835529680747e-05,0.00036198237281949387,0.01663985972467025,0.014653790461894897,1.32629821457924e-05,0.0661836027501684
L_TP2.1_B,Temporal Pole,MIwei,0.07159609902019108,0.0057890926422048536,0.0009095441676279642,0.04832255112586576,0.000909544167627964,0.003682409998927654,0.00041685816926591567,6.642777530549566e-07,0.00014602760409119787,0.014785272289004413,0.0,0.03304123483550571,0.0006475081712216676,0.000676976478412294,0.0001612994021978101,0.04576537514563736,0.06753921748579038,0.0028590588716058784,0.00011235839855114574,0.008666733917298474,0.01091745061111048,0.036298184826583334,0.05100532277879903,0.07159609902019108,0.0007660756569884201,0.000909544167627964,0.04932857797431475,0.008618081939696395,1.8955833304656442e-05,0.0018816565485685274,0.0035551421189125576,0.004449074726226982,0.004791264528131355,0.00529747262085218,0.0013289074034438552,0.004633596896345018,0.0439155850541675
L_TP2.1_C,Temporal Pole,Gwei,0.07737751606021764,0.07431061038995188,0.005018467614430264,0.04564932740862307,0.005018467614430264,0.004992987724755889,0.00012484037760740775,8.350158215566412e-06,6.510550891650641e-08,0.07737751606021764,0.0,0.04680403831891224,0.003018290752023819,0.004127989594070498,0.006472230432048115,0.029008095058562496,0.015056464073791574,0.0032746995850978593,0.00011137445392519826,0.010732880846171475,0.0010367989606283705,0.018024348150260844,0.019611731408092636,0.02210342982855909,0.0031489563240380395,0.005018467614430264,0.045451159027476956,0.02117997423493553,0.0018574976802086182,0.005903111365957633,0.008043571629570773,0.00905078285114564,0.008987446343638617,0.06282330861850004,0.031767273613285525,0.0010283622456078536,0.009116096140732768
L_TP2.1_D,Temporal Pole,Gwei,0.06362107753477378,0.0598576753468782,0.0069208952703770105,0.004626229265734916,0.0069208952703770105,7.471140289898395e-05,0.00013738514976846647,0.0007895882413233316,0.0005223664294149341,0.06362107753477378,0.0,0.018636592984409627,0.0023061445567354537,0.005742943462327294,0.00015908846564636618,7.055274613338976e-05,0.01609311752502342,0.007370092222563704,0.00022259499078987173,0.009509076389460035,0.006865809381771278,0.034311169747229996,0.01879257394477906,0.00900443450674443,0.003030383472675701,0.0069208952703770105,0.006127505847899723,0.005371818271487126,0.0027538554656479476,0.006895412101659985,0.006216475998151868,0.005055230842193524,0.005062032787585866,0.04983108798751562,0.026134653074152074,0.0020071532855813383,0.0033301715901858176
