original_functional_term,new_functional_term
abuse,abuse
acoustic,acoustic
act,action
action,action
actions,action
acts,action
adaptation,adaptation
addiction,addiction
adhd,adhd
affect,affect
affective,affect
alzheimer,alzheimer
alzheimer.disease,alzheimer
amnestic,amnestic
anger,anger
angry,anger
anticipation,anticipation
anticipatory,anticipation
anxiety,anxiety
anxiety.disorders,anxiety
aphasia,aphasia
appraisal,appraisal
arithmetic,arithmetic
arm,arm
arousal,arousal
articulatory,speech
attend,attention
attended,attention
attending,attention
attention,attention
attention.deficit,adhd
attention.network,attention
attention.task,attention
attentional,attention
attentional.control,attention
audiovisual,audiovisual
auditory,auditory
auditory.stimuli,auditory
auditory.visual,audiovisual
autism,autism
autism.spectrum,autism
autobiographical,autobiographical
autobiographical.memory,autobiographical
autonomic,autonomic
aversive,aversive
avoid,avoidance
avoidance,avoidance
awareness,awareness
balance,balance
belief,belief
beliefs,belief
bilinguals,bilingual
bipolar,bipolar
bipolar.disorder,bipolar
blind,blind
bodily,body
body,body
calculation,calculation
categorical,categorization
categories,categorization
categorization,categorization
category,categorization
character,character
characters,character
choice,choice
choices,choice
choose,choice
chosen,choice
chronic.pain,pain
cognition,cognition
cognitive,cognition
cognitive.control,cognition
cognitive.deficits,cognition
cognitive.function,cognition
cognitive.functions,cognition
cognitive.impairment,cognition
cognitive.performance,cognition
cognitive.processes,cognition
cognitive.task,cognition
cognitive.tasks,cognition
cognitively,cognition
color,color
communication,communication
competing,competition
competition,competition
complex,complexity
complexity,complexity
comprehension,comprehension
compulsive,compulsive
compulsive.disorder,compulsive
computation,computation
concentration,concentration
concept,concept
concepts,concept
conceptual,concept
conditioning,condition
confidence,confidence
conflict,conflict
conflicting,conflict
conscious,consciousness
consciousness,consciousness
consolidation,consolidation
construction,construction
consumption,consumption
context,context
contexts,context
contextual,context
control,control
control.network,control
control.processes,control
control.task,control
controlled,control
controlling,control
controls,control
coordination,coordination
covert,covert
cue,cue
cued,cue
cues,cue
damage,damage
decision,decision
decision.making,decision
decision.task,decision
decisions,decision
decoding,decode
default,default
default.mode,default
deficient,deficit
deficit,deficit
deficit.hyperactivity,deficit
deficits,deficit
delay,delay
delayed,delay
demand,demand
demanding,demand
demands,demand
dementia,dementia
depressed,depression
depression,depression
depressive,depression
depressive.disorder,depression
deprivation,deprivation
depth,depth
detect,detection
detected,detection
detecting,detection
detection,detection
detection.task,detection
development,development
developmental,development
diagnosis,diagnosis
digit,digit
disability,disability
discriminate,discriminate
discriminated,discriminate
discrimination,discriminate
discrimination.task,discriminate
discriminative,discriminate
disgust,disgust
disorder.ocd,ocd
disorder.ptsd,stress
distraction,distraction
distractor,distraction
distractors,distraction
dominance,dominance
dominant,dominance
dyslexia,dyslexia
early.visual,vision
eating,eat
economic,economic
efficiency,efficiency
effort,effort
effortful,effort
emotion.regulation,emotion
emotional,emotion
emotional.faces,emotion
emotional.information,emotion
emotional.responses,emotion
emotional.stimuli,emotion
emotional.valence,emotion
emotionally,emotion
emotions,emotion
empathic,empathy
empathy,empathy
encode,encode
encoded,encode
encoding,encode
encoding.retrieval,decode
engagement,engagement
english,english
epilepsy,epilepsy
episodic,episodic
episodic.memory,episodic
error,error
errors,error
evaluation,evaluation
evaluations,evaluation
events,events
executed,execution
execution,execution
expectancy,expectation
expectation,expectation
expectations,expectation
experience,experience
experiences,experience
experiencing,experience
expertise,expertise
exploration,exploration
exploratory,exploration
eye,eye
eye.movement,eye
eyes,eye
face,face
face.recognition,face
faces,face
facial,face
facial.expression,face
familiar,familiarity
familiarity,familiarity
family,family
fear,fear
fearful,fear
fearful.faces,fear
feature,feature
features,feature
feeling,feel
finger,finger
finger.movements,finger
finger.tapping,finger
fixation,fixation
flexibility,flexibility
fluency,fluency
focus,focus
food,food
foot,foot
force,force
gain,gain
gains,gain
gambling,gamble
game,game
gaze,gaze
german,german
gestures,gestures
goal,goal
goal.directed,goal
goals,goal
grasping,grasp
hand,hand
hand.movements,hand
handedness,handedness
hands,hand
happy,happy
happy.faces,happy
head,head
health,health
heard,hear
hearing,hear
heart,heart
