"term","prop_connected","prop_connected_std","wilcox_effect_size","wilcox_p_value","wilcox_adj_p_value","fold_change","log_fold_change","de_label","plot_label","de_color","label_color","nudge_x","nudge_y"
"abuse",0.0824468085106383,1.92617143089167,77179.7991538313,2.24884946503841e-10,7.03889882557023e-08,0.498963572679104,0.573249287791474,"abuse",NA,"#00A9FF","darkblue",2,1
"acoustic",0.250380517503805,6.52090264870777,216384.93736034,0.00428461100748964,1.34108324534426,3.46890250022265,1.14299416307477,NA,NA,"#BDBDBD","#BDBDBD",0,1
"action",0.129830695620169,2.53776114333151,2026605.37776101,8.35095258087779e-13,2.61384815781475e-10,1.21102396519321,0.668188848912623,"action",NA,"#00A9FF","darkblue",2,1
"addiction",0.0619047619047619,1.76910528917449,9674.84929675827,0.669177593301609,209.452586703404,0.209776347880235,0.266711037786194,"addiction",NA,"#F8766D","darkred",-3,1
"affect",0.0910119680395048,1.95055635548115,3073818.9711737,0.00132704612793737,0.415365438044397,0.393500688100289,0.389542565134446,"affect",NA,"#F8766D","darkred",-3,1
"alzheimer",0.122036693465265,3.05651187036468,439537.840171163,0.87679911599339,274.438123305931,0.622606340025392,0.603363146253241,NA,NA,"#BDBDBD","#BDBDBD",0,1
"amnestic",0.121943371943372,1.95393866428081,528719.143470148,0.0540126579666953,16.9059619435756,0.621882319640254,0.429868009062381,"amnestic",NA,"#F8766D","darkred",-3,1
"anger",0.0645537948290242,1.31791965041525,506615.137078592,0.653553958642871,204.562389055219,0.276734531043253,0.308281475897568,"anger",NA,"#F8766D","darkred",-3,1
"anticipation",0.0798319327731092,1.30041617660364,273404.042229446,0.80566660214229,252.173646470537,0.288112733526987,0.23969022722751,"anticipation",NA,"#F8766D","darkred",-3,1
"anxiety",0.0946589106292967,2.41264011388532,144889.570400304,0.147396259016979,46.1350290723144,0.316160117293211,0.418233932987207,"anxiety",NA,"#F8766D","darkred",-3,1
"aphasia",0.131522836943104,2.78997734139875,897822.008264242,0.00772186867792456,2.41694489619039,0.954940616325771,0.577328900353286,NA,NA,"#BDBDBD","#BDBDBD",0,1
"appraisal",0.150197628458498,2.62766520069031,13651.7139671705,0.62632565025186,196.039928528832,1.72334004624391,0.84342485803456,NA,NA,"#BDBDBD","#BDBDBD",0,1
"arithmetic",0.122596754057428,2.04455548615449,324992.482586961,0.100240057515843,31.375138002459,1.64553058676654,0.678607429476103,NA,NA,"#BDBDBD","#BDBDBD",0,1
"arm",0.212311901504788,4.79527164517241,330278.90009578,0.0262002631714243,8.2006823726558,2.54973801528237,0.92691921436025,NA,NA,"#BDBDBD","#BDBDBD",0,1
"arousal",0.0914542728635682,1.78793773606602,642632.257931354,0.712477985990417,223.005609615,0.326330457800161,0.35780754167758,"arousal",NA,"#F8766D","darkred",-3,1
"speech",0.116055846422339,2.33465448269532,1892365.05337815,3.80241565962617e-07,0.000119015610146299,0.914516971755192,0.591335802257289,"speech",NA,"#00A9FF","darkblue",2,1
"attention",0.103301081388731,1.60613503307458,2511759.78642686,0.257013896410837,80.4453495765918,0.58577418289736,0.349377649315826,"attention",NA,"#F8766D","darkred",-3,1
"audiovisual",0.145179063360882,2.33367893814175,579376.611461862,0.018493085614678,5.7883357973942,1.42144977439859,0.600232657355653,NA,NA,"#BDBDBD","#BDBDBD",0,1
"auditory",0.170070983630306,3.32984303561063,634984.872856521,2.20541970818177e-06,0.000690296368660894,1.83297682760685,0.765629531965572,"auditory",NA,"#00A9FF","darkblue",2,1
"autism",0.0901340996168582,1.31444528767253,825524.201447935,0.601174207224336,188.167526861217,0.326936524663531,0.229145098596017,"autism",NA,"#F8766D","darkred",-3,1
"autobiographical",0.0744892613933997,1.46174634551331,7123311.8609016,7.25653942497357e-12,2.27129684001673e-09,0.187643064186832,0.197384403188191,NA,NA,"#BDBDBD","#BDBDBD",0,1
"autonomic",0.091248206599713,1.74214897264708,2115379.31143493,0.0088907391227116,2.78280134540873,0.404704704612375,0.377628518512108,"autonomic",NA,"#F8766D","darkred",-3,1
"aversive",0.103298350824588,1.81059814920126,578632.862268739,2.56064914854135e-05,0.00801483183493442,0.469822140987618,0.408043042708521,"aversive",NA,"#F8766D","darkred",-3,1
"avoidance",0.0963265306122449,2.35202203580819,88528.4528258744,0.147768621478639,46.251578522814,0.252191570095375,0.342772928903221,"avoidance",NA,"#F8766D","darkred",-3,1
"balance",0.123333333333333,1.89507871321013,13495.3500993406,0.544120572457294,170.309739179133,1.41459263218852,0.546139915517333,NA,NA,"#BDBDBD","#BDBDBD",0,1
"belief",0.0856155664666303,1.68689953769211,2536873.25045933,0.853841170890129,267.25228648861,0.394263197163319,0.321920749083642,"belief",NA,"#F8766D","darkred",-3,1
"bilingual",0.159300873907615,2.99847438673848,377279.548486364,0.00207699726066105,0.650100142586908,1.49858977220361,0.663990507759634,NA,NA,"#BDBDBD","#BDBDBD",0,1
"bipolar",0.10989010989011,3.00620171907301,3601.20176576312,0.528671303538123,165.474118007433,0.749945313463229,0.750139570973348,NA,NA,"#BDBDBD","#BDBDBD",0,1
"blind",0.153846153846154,2.75048629531388,16644.2236908126,0.568708909449498,178.005888657693,1.49045417362249,0.685823901489467,NA,NA,"#BDBDBD","#BDBDBD",0,1
"body",0.129459734964322,2.03986555362702,465889.32430988,0.0416874508413378,13.0481721133387,1.15198962503491,0.535623574365375,NA,NA,"#BDBDBD","#BDBDBD",0,1
"calculation",0.123242349048801,1.92902084072402,1146499.88865824,0.084435947419024,26.4284515421545,1.15402252137838,0.564644902146848,NA,NA,"#BDBDBD","#BDBDBD",0,1
"categorization",0.173955773955774,3.08272445321626,541713.744454476,0.000747225492968296,0.233881579299077,1.00753307039153,0.545634654022921,NA,NA,"#BDBDBD","#BDBDBD",0,1
"character",0.106493506493506,1.72846617434853,1567888.76236568,0.341323219768494,106.834167787539,0.658927652301792,0.396423821882637,"character",NA,"#F8766D","darkred",-3,1
"choice",0.074310193618026,1.24064664956309,2896642.71725828,0.00940009254739976,2.94222896733612,0.201471626751272,0.189730745927351,"choice",NA,"#F8766D","darkred",-3,1
"pain",0.100763855030067,2.54606196066736,4213154.25396093,6.30203772622151e-26,1.97253780830733e-23,0.610063420454,0.586778914036278,"pain","pain","#00A9FF","darkblue",2,1
"cognition",0.0845219601751165,1.31776215367919,3804896.95772873,0.259009285997026,81.0699065170693,0.241280982671638,0.19704961183892,"cognition",NA,"#F8766D","darkred",-3,1
"color",0.137525712606524,2.06804819277108,267485.084675428,0.00185125481953708,0.579442758515106,1.42689878847523,0.596941960767278,NA,NA,"#BDBDBD","#BDBDBD",0,1
"communication",0.320197044334975,3.98925360516347,14821.7418298641,0.944047894873507,295.486991095408,6.51064626627084,1.05610760547229,NA,NA,"#BDBDBD","#BDBDBD",0,1
"competition",0.114265561629342,1.62922125004394,505378.573912589,0.0128031436570337,4.00738396465154,0.802728326781617,0.453242541289405,"competition",NA,"#F8766D","darkred",-3,1
"complexity",0.12531605562579,2.20973537918016,567903.094008024,0.0194528603982684,6.08874530465801,1.29374004747747,0.608918763993915,NA,NA,"#BDBDBD","#BDBDBD",0,1
"comprehension",0.123300801673057,2.45738872834625,1180573.8438624,0.000168550593812478,0.0527563358633055,1.03145740967523,0.612645783651004,NA,NA,"#BDBDBD","#BDBDBD",0,1
"compulsive",0.152631578947368,2.36306390977444,7956.73656954875,0.363909300448656,113.903611040429,1.20747283433497,0.674452165604209,NA,NA,"#BDBDBD","#BDBDBD",0,1
"computation",0.0813953488372093,1.89183226619779,61006.3884248852,0.0333387957933442,10.4350430833167,0.606083508540549,0.490695891681568,"computation",NA,"#F8766D","darkred",-3,1
"concentration",0.164502164502165,1.98152037787573,8915.40915354496,0.344373733267684,107.788978512785,1.29092006077634,0.584954264758718,NA,NA,"#BDBDBD","#BDBDBD",0,1
"concept",0.143542582966813,3.24420113801955,780190.268084305,0.00141752924204362,0.443686652759653,1.12440503445985,0.708602311239151,NA,NA,"#BDBDBD","#BDBDBD",0,1
"condition",0.113612455291395,2.13487322559008,414618.348150188,0.853146822469719,267.034955433022,0.512706436663686,0.502090409157014,NA,NA,"#BDBDBD","#BDBDBD",0,1
"confidence",0.167532467532468,2.75672430531387,126292.311344594,0.112156954691739,35.1051268185142,0.876421722536667,0.59603857417784,NA,NA,"#BDBDBD","#BDBDBD",0,1
